"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"127",37,0.98753280839895,0.905006858710562,0.981481481481482,0.333333333333333,4529,5000,"2","0.001",4,7,"5000 2 0.001 4","4","RT-PCR"
"128",38,0.986089238845144,0.935871056241427,0.987654320987654,0.388888888888889,4974,5000,"2","0.001",4,8,"5000 2 0.001 4","4","RT-PCR"
"129",39,0.989394549603974,0.863027133050016,0.987577639751553,0.421052631578947,4999,5000,"2","0.001",4,9,"5000 2 0.001 4","4","RT-PCR"
"130",40,0.977970157657658,0.920934411500449,0.987421383647799,0.333333333333333,3095,5000,"2","0.001",4,10,"5000 2 0.001 4","4","RT-PCR"
"131",41,0.970474967907574,0.953085528690004,0.993865030674847,0.411764705882353,307,5000,"2","0.01",4,1,"5000 2 0.01 4","5","RT-PCR"
"132",42,0.995815295815296,0.86982163406214,0.968354430379747,0.454545454545455,597,5000,"2","0.01",4,2,"5000 2 0.01 4","5","RT-PCR"
"133",43,0.987676508344031,0.950559364850235,0.98159509202454,0.470588235294118,589,5000,"2","0.01",4,3,"5000 2 0.01 4","5","RT-PCR"
"134",44,0.998432601880878,0.890275387263339,0.987951807228916,0.214285714285714,851,5000,"2","0.01",4,4,"5000 2 0.01 4","5","RT-PCR"
"135",45,0.988125802310655,0.932515337423313,0.987730061349693,0.411764705882353,586,5000,"2","0.01",4,5,"5000 2 0.01 4","5","RT-PCR"
"136",46,0.983761232349166,0.883435582822086,0.98159509202454,0.176470588235294,440,5000,"2","0.01",4,6,"5000 2 0.01 4","5","RT-PCR"
"137",47,0.986942257217848,0.89883401920439,0.981481481481482,0.333333333333333,429,5000,"2","0.01",4,7,"5000 2 0.01 4","5","RT-PCR"
"138",48,0.993635170603674,0.936213991769547,0.987654320987654,0.444444444444444,719,5000,"2","0.01",4,8,"5000 2 0.01 4","5","RT-PCR"
"139",49,0.997046583434018,0.863354037267081,0.981366459627329,0.421052631578947,835,5000,"2","0.01",4,9,"5000 2 0.01 4","5","RT-PCR"
"140",50,0.980363175675676,0.913746630727763,0.981132075471698,0.285714285714286,335,5000,"2","0.01",4,10,"5000 2 0.01 4","5","RT-PCR"
"141",51,0.990693196405648,0.950920245398773,0.993865030674847,0.470588235294118,3703,5000,"3","0.001",4,1,"5000 3 0.001 4","6","RT-PCR"
"142",52,0.998124098124098,0.88204833141542,0.974683544303797,0.454545454545455,4512,5000,"3","0.001",4,2,"5000 3 0.001 4","6","RT-PCR"
